width_m,depth_cm,velo_m_s
1.4,0,0
1.65,7,0.01
1.9,9.5,0.03
2.15,11,0.03
2.4,8,0.07
2.65,11,0.06
2.9,10,0.02
3.15,11,0.04
3.4,13,0.05
3.65,15.5,0.07
3.9,16,0.16
4.15,19,0.15
4.4,20,0.18
4.65,20,0.19
4.9,23,0.21
5.15,21,0.22
5.4,21,0.25
5.65,22,0.24
5.9,22.5,0.32
6.15,24,0.27
6.4,25,0.33
6.65,24,0.27
6.9,24,0.28
7.15,23.5,0.22
7.4,24,0.25
7.65,25,0.26
7.9,25,0.23
8.15,24,0.25
9.15,25,0.17
10.15,28,0.2
11.15,28,0.16
12.15,23,0.19
13.15,26,0.16
14.15,22,0.16
15.15,15,0.12
16.15,6,0.04
17.15,0,0