Site,Date,Q,NO3,PO4,NH4
P-In,7/23/10,135,10,3,9
P-In,7/30/10,313.8,2,2,11
P-In,9/20/10,77.1,21,2,8
P-In,9/28/10,59.2,19,1,12
P-In,9/28/10,59.2,19,1,12
P-In,6/1/11,490.9,23.3,5,7.6
P-In,6/7/11,239,9.5,3.6,11.5
P-In,6/8/11,188.8,11,5,13.5
P-In,6/13/11,60.5,15.1,2.6,9.4
P-In,6/13/11,60.5,19.2,3.6,6.2
P-In,6/14/11,57.2,17.2,2.2,3.1
P-In,6/20/11,32,32.9,4.7,6.8
P-In,6/20/11,32,44.4,4.1,9.8
P-In,6/27/11,33.9,51.8,3.8,12.4
P-In,6/27/11,33.9,52.7,3.1,11.2
P-In,7/4/11,28.8,55.7,2.4,14
P-In,7/5/11,30.1,46.5,2.2,13.9
P-In,7/8/11,27.9,73.3,3.4,13.6
P-In,7/8/11,27.9,74.5,3.1,11.8
P-In,7/11/11,22.2,75.8,3.4,10.3
P-In,7/11/11,22.2,77.1,3.5,10.3
P-In,7/21/11,27.7,53.8,3.7,25.9
P-In,7/21/11,27.7,53.7,4.7,18.3
P-In,7/26/11,29.6,42.4,5.7,23.6
P-In,7/26/11,29.6,47.2,3.8,19.4
P-In,8/2/11,32,35.8,3.9,39
P-In,8/3/11,28.4,35.4,4.5,14.3
P-In,8/3/11,28.4,45.7,3.9,14.2
P-In,8/8/11,19.1,39.9,4.4,32.2
P-In,8/8/11,19.1,47.3,4.1,10.2
P-In,8/15/11,16.3,31.8,1.6,9.9
P-In,8/15/11,16.3,46,1.5,6.7
P-In,8/18/11,14.7,36,2.2,12
P-In,8/18/11,14.7,49.9,2.7,8.2
P-In,8/22/11,11.7,44.2,1.6,26.1
P-In,8/22/11,11.7,57.4,1.8,10.9
P-In,8/25/11,10,46.6,3.2,15.6
P-In,8/25/11,10,59.9,1,11.5
P-In,8/29/11,8.7,55.5,1.9,18.4
P-In,8/29/11,8.7,67.1,2.9,11.7
P-In,9/1/11,8.6,44.5,2,12.3
P-In,9/1/11,8.6,55,2.2,8.2
P-In,9/5/11,10,47.3,2.1,18.8
P-In,9/5/11,10,58.7,2,12.3
P-In,9/8/11,13.1,59.4,2,19.6
P-In,9/8/11,13.1,58.1,2.4,12.5
P-In,9/12/11,18,38.5,2.4,20.3
P-In,9/12/11,18,29.4,3.1,12.4
P-In,9/15/11,27.5,38,3.4,16.1
P-In,9/15/11,27.5,34.9,1.3,10.2
P-In,9/19/11,48.9,19.7,2.8,13.3
P-In,9/19/11,48.9,22.2,4.8,16.1
P-In,9/22/11,49.3,15.7,1.6,14.1
P-In,9/22/11,49.3,15.4,3.7,9
P-In,9/26/11,40.6,19.8,3.7,13.1
P-In,9/26/11,40.6,23.5,0.3,16.1
P-In,9/29/11,32.2,12.7,0.8,13.5
P-In,9/29/11,32.2,19,2.2,14.8
P-In,10/3/11,23.2,16.9,2.4,16.9
P-In,10/3/11,23.2,18.7,2.1,12.4
P-In,10/6/11,19.1,25.5,4.4,28.4
P-In,10/6/11,19.1,20.1,1.6,13.5
P-In,10/10/11,15.4,26.2,3.4,13.7
P-In,10/10/11,15.4,25.9,2.8,11.6
I8-In,7/21/10,574.5,5,4.4,8.7
I8-In,7/28/10,178.6,15.1,5.9,7.4
I8-In,7/28/10,178.6,16.9,6.1,5.4
I8-In,9/18/10,196.3,31.4,5.3,12.5
I8-In,9/18/10,196.3,33,5.1,10.9
I8-In,9/25/10,120.3,89.7,3.9,12
I8-In,9/25/10,120.3,95.2,4,9
I8-In,6/1/11,86.6,104,4.2,8.8
I8-In,6/5/11,70.6,125,3.2,8.4
I8-In,6/5/11,70.6,135,2.2,7
I8-In,6/6/11,63.4,132.5,3.2,21.4
I8-In,6/6/11,63.4,137,4.4,14.4
I8-In,6/11/11,34.8,119,4.1,8.2
I8-In,6/11/11,34.8,142,3.1,8.6
I8-In,6/12/11,33.2,157.2,4,6
I8-In,6/12/11,33.2,117.5,2.9,8.3
I8-In,6/18/11,36.7,110,2,21
I8-In,6/20/11,29.7,60.9,2.9,5.4
I8-In,6/20/11,29.7,135,2.6,7.3
I8-In,6/27/11,57.2,45.6,2.9,14
I8-In,6/27/11,57.2,74.2,3.8,11.6
I8-In,7/8/11,36.7,51.4,3.6,14.5
I8-In,7/8/11,36.7,78.3,3.7,14.7
I8-In,7/11/11,23.8,57.8,2.9,15.8
I8-In,7/11/11,23.8,70.3,3.5,10.2
I8-In,7/18/11,96,18,1.8,19
I8-In,7/19/11,89.9,14.1,4.5,5.3
I8-In,7/21/11,126,9.2,4.5,10.6
I8-In,7/21/11,126,19.5,5.2,12.6
I8-In,7/26/11,66.1,7.5,3.7,8.4
I8-In,7/26/11,66.1,23.7,3.9,10.3
I8-In,8/3/11,81,19.5,3.9,13.8
I8-In,8/3/11,81,29.3,4.1,13.1
I8-In,8/8/11,47.5,37.3,5.2,10
I8-In,8/8/11,47.5,42.6,7,9.8
I8-In,8/13/11,43.2,53.1,3.2,9.4
I8-In,8/15/11,41.5,43.4,3.6,5.5
I8-In,8/15/11,41.5,58.3,1.9,6.1
I8-In,8/18/11,46.3,16.7,1.9,9
I8-In,8/18/11,46.3,4.8,2,11.8
I8-In,8/22/11,37.6,80.8,1.9,13.9
I8-In,8/22/11,37.6,86.6,1.7,11.5
I8-In,8/25/11,32.2,84.9,1.2,9.4
I8-In,8/25/11,32.2,53.1,2,18.5
I8-In,8/29/11,29.9,96.9,3.9,18.9
I8-In,8/29/11,29.9,100,2.4,14.1
I8-In,9/1/11,30.5,90.3,1.5,7.9
I8-In,9/1/11,30.5,97,3.4,14
I8-In,9/5/11,142.4,121,2.4,17.9
I8-In,9/5/11,142.4,121,2.2,21.8
I8-In,9/8/11,152.7,109,2.3,24.6
I8-In,9/8/11,152.7,107,2.7,27.6
I8-In,9/9/11,184.9,91.4,2.8,42.3
I8-In,9/12/11,625.5,42.6,4.8,29.1
I8-In,9/12/11,625.5,41.1,3.4,32.4
I8-In,9/15/11,315.7,82.2,2.4,15.4
I8-In,9/15/11,315.7,79.7,3.6,14.5
I8-In,9/19/11,183,109,4.4,16.2
I8-In,9/19/11,183,84.3,7.5,16
I8-In,9/22/11,127.4,124,2.5,11.3
I8-In,9/22/11,127.4,119,2.8,13.3
I8-In,9/26/11,73.7,162,2.5,10.3
I8-In,9/26/11,73.7,155,2.8,11.9
I8-In,9/29/11,61.8,200,1.6,9.6
I8-In,9/29/11,61.8,205,1,15
I8-In,10/3/11,44.1,235,3.9,10.6
I8-In,10/3/11,44.1,209,2.8,15.8
I8-In,10/6/11,44.1,239,3,13.1
I8-In,10/6/11,44.1,201,3.1,11.6
I8-In,10/10/11,44.1,296,2.7,17
I8-In,10/10/11,44.1,231,2.5,13.5
I8-Out,7/19/10,245.5,8.2,12.4,3.5
I8-Out,7/26/10,284.3,2.5,6.5,10.5
I8-Out,7/26/10,284.3,5,6.6,9.3
I8-Out,9/16/10,201.7,9,2,7
I8-Out,9/16/10,201.7,9,2,7
I8-Out,9/23/10,191.1,11,3,5
I8-Out,9/23/10,191.1,11,3,5
I8-Out,6/1/11,NA,NA,NA,NA
I8-Out,6/3/11,430,42.9,6,11.9
I8-Out,6/3/11,430,38.4,5.5,17.9
I8-Out,6/4/11,446.1,41.2,4.1,6.4
I8-Out,6/4/11,446.1,44.9,5.4,1.2
I8-Out,6/9/11,263.7,26,3.1,7.3
I8-Out,6/9/11,263.7,35.8,3.1,11
I8-Out,6/10/11,220.2,31,3.4,
I8-Out,6/20/11,95.8,17.2,3.2,8.1
I8-Out,6/20/11,95.8,7.7,4.4,9.3
I8-Out,6/27/11,143.4,18.9,3.4,10.7
I8-Out,6/27/11,143.4,19.3,3.3,11.6
I8-Out,7/8/11,87.7,23.5,3.6,8.4
I8-Out,7/8/11,87.7,13.3,2.5,21.5
I8-Out,7/11/11,47.7,32.2,4.4,13
I8-Out,7/11/11,47.7,18,3.4,19.1
I8-Out,7/15/11,67.9,5.6,1.9,
I8-Out,7/16/11,151.3,7.9,2.1,15.3
I8-Out,7/21/11,207.6,5.6,3.8,9.8
I8-Out,7/21/11,207.6,8.5,3.8,14.2
I8-Out,7/26/11,150.8,19.5,3.7,10.9
I8-Out,7/26/11,150.8,11.6,3.3,15.3
I8-Out,8/3/11,129.7,15.1,3.2,19.3
I8-Out,8/3/11,129.7,12.3,3.6,12.3
I8-Out,8/8/11,73.8,20.2,2.9,10.8
I8-Out,8/8/11,73.8,11.3,2.1,24.1
I8-Out,8/15/11,53.9,16.9,2.1,8
I8-Out,8/15/11,53.9,7.1,2.4,11.6
I8-Out,8/18/11,55.4,56,1.4,8.1
I8-Out,8/18/11,55.4,72.6,1.5,14.3
I8-Out,8/22/11,43.8,14.1,2,10.1
I8-Out,8/22/11,43.8,6.5,1.8,13.3
I8-Out,8/25/11,34.8,13,1,8.5
I8-Out,8/25/11,34.8,6.9,2.7,15.3
I8-Out,8/29/11,27.8,19.1,1.3,7.8
I8-Out,8/29/11,27.8,9.2,1.3,15.5
I8-Out,9/1/11,26.2,12.7,1.4,8.8
I8-Out,9/1/11,26.2,6.5,1.8,12.5
I8-Out,9/3/11,85.4,3.6,0.3,5.5
I8-Out,9/5/11,137.8,6.4,3.2,7.3
I8-Out,9/5/11,137.8,7.8,2.6,13
I8-Out,9/8/11,149.6,6.7,2.5,9.1
I8-Out,9/8/11,149.6,8.8,2.2,13
I8-Out,9/12/11,280.5,15.1,1.6,10.6
I8-Out,9/12/11,280.5,16.7,2.6,13.5
I8-Out,9/15/11,274.7,22.1,6.6,9.6
I8-Out,9/15/11,274.7,23.3,3.3,10.7
I8-Out,9/19/11,181,25.7,3.1,8.7
I8-Out,9/19/11,181,30.9,2.8,12.1
I8-Out,9/22/11,127.4,32.9,2.7,12.2
I8-Out,9/22/11,127.4,36.6,2.9,12
I8-Out,9/26/11,73.7,41.3,0.5,10.3
I8-Out,9/26/11,73.7,38.1,3.6,10.7
I8-Out,9/29/11,61.8,36.2,2.5,11.6
I8-Out,9/29/11,61.8,45.4,2.8,13.2
I8-Out,10/3/11,44.1,42.6,2.4,10
I8-Out,10/3/11,44.1,49.7,1.4,11.3
I8-Out,10/6/11,44.1,45.3,3.1,11.5
I8-Out,10/6/11,44.1,50.8,3.5,11.1
I8-Out,10/10/11,44.1,60.7,4.6,11.2
I8-Out,10/10/11,44.1,53.9,3.5,14.4