Location,Width_m,Channel_height_m,Water_level_m
Left bank,0.5,0.02,
Left bank,1,0.05,
Left bank,1.5,0.14,
Left bank,2,0.13,
Left bank,2.5,0.11,
Left bank,3,0.13,
Left bank,3.5,0.15,
Left bank,4,0.20,
Left bank,4.5,0.22,
Left bank,5,0.28,
Left bank,5.5,0.25,
Left bank,6,0.28,
Left bank,6.5,0.30,
Left bank,7,0.34,
Left bank,7.5,0.32,
Left bank,8,0.39,
Left bank,8.5,0.40,
Left bank,9,0.44,
Left bank,9.5,0.44,
Left bank,10,0.44,
Left bank,10.5,0.49,
Left bank,11,0.50,
Left bank,11.5,0.53,
Left bank,12,0.59,
Left bank,12.5,0.61,
Left bank,13,0.60,
Left bank,13.5,0.57,
Left bank,14,0.61,
LEW,14.5,0.67,0.03
Wetted channel,15,0.68,0.04
Wetted channel,15.5,0.72,0.05
Wetted channel,16,0.65,0.08
Wetted channel,16.5,0.72,0.09
Wetted channel,17,0.70,0.1
Wetted channel,17.5,0.70,0.11
Wetted channel,18,0.75,0.14
Wetted channel,18.5,0.72,0.14
Wetted channel,19,0.81,0.17
Wetted channel,19.5,0.80,0.15
Wetted channel,20,0.59,0.12
Wetted channel,20.5,0.56,0.04
Wetted channel,21,0.58,0.05
Wetted channel,21.5,0.59,0.03
Wetted channel,22,0.61,0.03
Wetted channel,22.5,0.58,0.025
Wetted channel,23,0.63,0.03
Wetted channel,23.5,0.62,0.03
Wetted channel,24,0.58,0.01
Wetted channel,24.5,0.42,0.03
REW,25,0.53,0.01
Right bank,25.5,0.52,
Right bank,26,0.56,
Right bank,26.5,0.58,
Right bank,27,0.62,
Right bank,27.5,0.44,
Right bank,28,0.29,
Right bank,28.5,0.25,
Right bank,29,0.25,
Right bank,29.5,0.27,
Right bank,30,0.15,
Right bank,30.5,0.17,