Site,Location,Date,Q,NO3,PO4,NH4,Temp,PAR,NEP,GPP,ER,P_Vf,N_Vf
I8-In,I8-In avg,7/21/10,460,7.1,4.8,9.2,9.3,7798,-88.32,10.8,-19.632,17.0,
I8-In,I8-In 340 M,7/21/10,460,9.2,5.1,9.7,9.3,7798,-88.32,10.8,-19.632,20.3,
I8-In,I8-In 500 M,7/21/10,460,5.0,4.4,8.7,9.3,7798,-88.32,10.8,-19.632,13.2,
I8-In,I8-In Avg,7/28/10,186,16.0,6.0,6.4,10.6,2592,-0.24,5.616,-5.64,19.5,8.5
I8-In,I8-In 340 M,7/28/10,186,15.1,5.9,7.4,10.6,2592,-0.24,5.616,-5.64,14.6,6.8
I8-In,I8-In 500 M,7/28/10,186,16.9,6.1,5.4,10.6,2592,-0.24,5.616,-5.64,24.3,10.9
I8-In,I8-In avg,9/18/10,180,32.2,5.2,11.7,4.4,5543,-80.88,4.704,-12.792,12.2,5.3
I8-In,I8-In 340 M,9/18/10,180,31.4,5.3,12.5,4.4,5543,-80.88,4.704,-12.792,14.1,
I8-In,I8-In 500 M,9/18/10,180,33.0,5.1,10.9,4.4,5543,-80.88,4.704,-12.792,10.3,5.7
I8-In,I8-In avg,9/25/10,110,92.5,4.0,10.5,0.1,4110,-54.24,2.304,-7.728,12.7,2.9
I8-In,I8-In 340 M,9/25/10,110,89.7,3.9,12.0,0.1,4110,-54.24,2.304,-7.728,14.5,
I8-In,I8-In 500 M,9/25/10,110,95.2,4.0,9.0,0.1,4110,-54.24,2.304,-7.728,11.0,3.4
I8-In,I8-In avg,6/6/11,63,134.8,3.8,17.9,10.3,11553,-18.24,4.8,-6.624,6.9,7.9
I8-In,I8-In 340 M,6/6/11,63,132.5,3.24,21.44,10.3,11553,-18.24,4.8,-6.624,7.2,6.6
I8-In,I8-In 500 M,6/12/11,33,137,4.41,14.41,10.3,11553,-18.24,4.8,-6.624,6.7,9.8
I8-In,I8-In avg,6/12/11,33,137.4,3.5,7.1,9.7,9200,35.04,3.36,0.12,7.9,3.9
I8-In,I8-In 340 M,6/18/11,37,157.2,4.03,5.95,9.7,9200,35.04,3.36,0.12,6.8,4.7
I8-In,I8-In 500 M,7/18/11,96,117.5,2.92,8.27,9.7,9200,35.04,3.36,0.12,,
I8-In,I8-In,7/19/11,90,18.0,1.8,19.0,11.7,9191,-30.96,8.256,-11.376,16.2,
I8-In,I8-In,8/13/11,43,14.1,4.5,5.6,12.8,12598,-40.08,10.392,-14.4,13.8,11.8
I8-In,I8-In,8/13/11,43,53.1,3.2,9.4,10.5,7014,-29.76,5.904,-8.88,13.6,4.6
I8-In,I8-In,9/9/11,185,91.4,2.8,42.3,2.5,5575,-16.8,5.616,-7.296,22.9,
I8-Out,I8-Out-AVG,7/19/10,250,8,12.695,3.5,11.1,4796,-158.16,5.88,-21.696,33.8,
I8-Out,I8-Out-260,7/19/10,250,7.8,12.99,3.5,11.1,4796,-158.16,5.88,-21.696,29.6,
I8-Out,I8-Out-360,7/19/10,250,8.2,12.4,3.5,11.1,4796,-158.16,5.88,-21.696,38.2,
I8-Out,I8-Out-AVG,7/26/10,270,3.76,6.53,9.93,12.9,7084,81.12,8.424,-0.312,28.1,11.5
I8-Out,I8-Out-260,7/26/10,270,3.76,6.53,9.93,12.9,7084,81.12,8.424,-0.312,27.3,14.3
I8-Out,I8-Out-360,7/26/10,270,3.76,6.53,9.93,12.9,7084,81.12,8.424,-0.312,29.0,8.7
I8-Out,I8-Out-AVG,9/16/10,198,11.75,2.76,5.9,7.8,816,-102.72,3.384,-13.656,21.1,9.9
I8-Out,I8-Out-260,9/16/10,198,11.75,2.76,5.9,7.8,816,-102.72,3.384,-13.656,21.0,
I8-Out,I8-Out-360,9/16/10,198,11.75,2.76,5.9,7.8,816,-102.72,3.384,-13.656,21.3,9.9
I8-Out,I8-Out-AVG,9/23/10,185,13.65,3.41,6.75,4.1,4110,-55.2,4.776,-10.296,20.5,5.0
I8-Out,I8-Out-260,9/23/10,185,13.65,3.41,6.75,4.1,4110,-55.2,4.776,-10.296,21.5,5.4
I8-Out,I8-Out-360,9/23/10,185,13.65,3.41,6.75,4.1,4110,-55.2,4.776,-10.296,19.5,4.6
I8-Out,I8-Out-AVG,6/4/11,446,43.05,4.75,3.8,6,11688,-424.08,11.664,-54.048,27.6,
I8-Out,I8-Out-260,6/4/11,446,43.05,4.75,3.8,6,11688,-424.08,11.664,-54.048,18.3,100.6
I8-Out,I8-Out-360,6/4/11,446,43.05,4.75,3.8,6,11688,-424.08,11.664,-54.048,36.8,
I8-Out,I8-Out-AVG,6/10/11,220,31,3.38,5.7,7.9,16140,-178.08,10.104,-27.912,30.2,39.8
I8-Out,I8-Out-260,6/10/11,220,29.5,2.43,5.5,7.9,16140,-178.08,10.104,-27.912,42.0,25.1
I8-Out,I8-Out-360,6/10/11,220,31,3.38,5.9,7.9,16140,-178.08,10.104,-27.912,30.2,53.5
I8-Out,I8Out-340,7/15/11,68,5.6,1.89,13.5,15,10291,-88.08,10.08,-18.888,20.9,
I8-Out,I8-Out-260,7/16/11,151,7.9,2.08,15.3,15.4,7823,-101.28,13.224,-23.328,27.3,14.9
I8-Out,I8-Out-250,9/3/11,85,3.6,0.29,5.45,10.8,3292,-20.16,4.68,-6.672,17.5,
P-In,Pin,7/23/10,138,10,3,9,12.3,9005,-23.04,1.224,-3.528,12.0,
P-In,Pin,7/23/10,138,10,3,9,12.3,9005,-23.04,1.224,-3.528,13.5,
P-In,Pin,7/30/10,415,2,2,11,12.5,7937,,,,,
P-In,Pin,9/20/10,75,21,2,8,5.6,4321,-8.16,0.12,-0.936,10.5,
P-In,Pin,9/28/10,50,19,1,12,0.5,2619,,,,,
P-In,Pin,9/28/10,50,19,1,12,0.5,2619,,,,,
P-In,Pin,6/8/11,189,11,4.99,13.5,7,15318,-88.8,-1.032,-7.848,14.1,
P-In,Pin,6/14/11,57,17.2,2.19,3.1,7.9,9532,-43.92,-0.624,-3.768,1.4,
P-In,Pin,7/4/11,29,55.7,2.37,14,10.5,3738,-23.28,1.344,-3.672,5.1,
P-In,Pin,7/5/11,30,46.5,2.18,13.9,11.8,12118,-28.56,2.592,-5.448,15.6,
P-In,Pin,8/2/11,32,35.8,3.94,39,11,5232,-16.8,3.624,-5.304,5.9,