Site,Location,Date,Q,NO3,PO4,NH4,Temp,PAR,NEP,GPP,ER,ER_pos,P_Vf,NH4_Vf,NO3_Vf
I8-In,I8-In 500 M,7/21/10,460,5,4,9,9.3,7798,-8.8,10.8,-19.6,19.6,8.3,-7.9,-1.13
I8-In,I8-In 500 M,7/28/10,186,17,6,5,10.6,2592,0.0,5.6,-5.6,5.6,24.9,11.9,3.60
I8-In,I8-In 500 M,9/18/10,180,33,5,11,4.4,5543,-8.1,4.7,-12.8,12.8,12.8,10.6,0.04
I8-In,I8-In 500 M,9/25/10,110,95,4,9,0.1,4110,-5.4,2.3,-7.7,7.7,12.3,2.9,-0.03
I8-In,I8-In 500 M,6/6/11,63,,,10,,,,,,,8.5,6.40,NA
I8-In,I8-In 500 M,6/12/11,33,137,4,14,10.3,11553,-1.8,4.8,-6.6,6.6,6.7,9.8,
I8-In,I8-In,7/19/11,90,18,2,19,11.7,9191,-3.1,8.3,-11.4,11.4,16.2,0.0,
I8-In,I8-In,8/13/11,43,53,3,9,10.5,7014,-3.0,5.9,-8.9,8.9,13.6,4.6,
I8-In,I8-In,9/9/11,185,91,3,42,2.5,5575,-1.7,5.6,-7.3,7.3,22.9,0.0,
I8-Out,I8-Out-360,7/19/10,250,8,12,4,11.1,4796,-15.8,5.9,-21.7,21.7,38.2,0.0,
I8-Out,I8-Out-360,7/26/10,270,5,7,10,12.9,7084,8.1,8.4,-0.3,0.3,29.0,8.7,
I8-Out,I8-Out-360,9/16/10,198,15,3,6,7.8,816,-10.3,3.4,-13.7,13.7,21.3,9.9,
I8-Out,I8-Out-360,9/23/10,185,16,3,7,4.1,4110,-5.5,4.8,-10.3,10.3,19.5,4.6,
I8-Out,I8-Out-260,6/4/11,446,43,5,4,6,11688,-42.4,11.7,-54.0,54.0,0.0,45.0,
I8-Out,I8-Out-360,6/10/11,220,31,3,6,7.9,16140,-17.8,10.1,-27.9,27.9,30.2,53.5,
I8-Out,I8-Out-260,7/16/11,151,8,2,15,15.4,7823,-10.1,13.2,-23.3,23.3,27.3,14.9,
I8-Out,I8-Out-260,9/2/11,44,4,3,3,11.3,3884,-3.2,3.5,-6.7,6.7,9.7,3.7,1.55
P-In,Pin,7/23/10,138,10,3,9,12.3,9005,-2.3,1.2,-3.5,3.5,13.5,0.0,
P-In,Pin,7/30/10,415,3,3,11,12.5,7937,-2.7,1.8,-4.5,4.5,0.0,0.0,
P-In,Pin,9/20/10,75,25,2,8,5.6,4321,-0.8,0.1,-0.9,0.9,10.5,0.0,
P-In,Pin,6/8/11,189,11,5,14,7,15318,-1.0,0.0,-7.8,7.8,14.1,0.0,
P-In,Pin,6/14/11,57,17,2,3,7.9,9532,-0.6,0.0,-3.8,3.8,1.4,0.0,
P-In,Pin,7/5/11,30,47,2,14,11.8,12118,-2.9,2.6,-5.4,5.4,15.6,NA,
P-In,Pin,8/2/11,32,36,4,39,11,5232,-1.7,3.6,-5.3,5.3,5.9,0.0,