Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl,cor_nh4,cl_ug,cor_cl,con_nh4,con_amb_nh4,tot_nh4,nh4_cl,log_nh4_cl,diff,kw_nh4,sw_nh4
B_up,7/23/10,14:00:00,11.2,NA,< 10,0.76,NA,760,670.225,12.006161207297705,20.976161207297707,20.976161207297707,NA,NA,NA,NA,NA
B_up,7/23/10,14:00:30,10.5,NA,< 10,0.11,NA,110,20.224999999999994,0.36230312270893505,9.332303122708936,9.332303122708938,NA,NA,NA,NA,NA
B_up,7/23/10,14:00:00,11.1,10.5,< 10,0.41,1.5524249999999995,410,320.225,5.736391469442213,14.706391469442213,12.426468139787072,0.00484791943164962,-5.329205649237373,-1.3070121242994235,-0.005026969708843937,198.92699934927043
B_up,7/23/10,14:00:00,10.8,NA,< 10,0.09,NA,90,0.22499999999999432,0.004030566260049857,8.974030566260051,8.974030566260051,NA,NA,NA,NA,NA
B_up,7/23/10,14:07:30,11.1,24.6,< 10,0.26,15.652425000000001,260,170.225,3.049347296075574,12.019347296075575,17.195230253865724,NA,NA,NA,NA,NA
B_up,7/23/10,14:08:30,9.92,49.3,< 10,2.65,40.352425,2650,2560.225,45.86291779171735,54.83291779171735,51.99291150850918,0.015761280746809363,-4.150198932193787,-0.12800540725583698,-4.923284894455269e-4,2031.164195121485
B_up,7/23/10,14:09:30,10.8,180,< 10,9.56,171.052425,9560,9470.225,169.6460860448072,178.6160860448072,179.3067078724756,NA,NA,NA,NA,NA
B_up,7/23/10,14:10:00,9.78,282,< 10,16.18,273.05242499999997,16180,16090.225,288.2343022293882,297.20430222938825,289.5023544441178,0.016970081213904715,-4.076303414013529,-0.0541098890755789,-2.0811495798299577e-4,4805.03664749415
B_up,7/23/10,14:10:30,10.6,417,< 10,24.64,408.05242499999997,24640,24550.225,439.7835936072666,448.7535936072666,432.58553897955284,0.01662112770860552,-4.097080639353371,-0.07488711441542151,-2.880273631362366e-4,3471.8923546406295
B_up,7/23/10,14:11:00,9.65,536,< 10,33.91,527.052425,33910,33820.225,605.8429235213249,614.8129235213249,574.0555086465332,0.015583942005116761,-4.1615142535264615,-0.13932072858851186,-5.35848956109661e-4,1866.197533088692
B_up,7/23/10,14:12:00,10.5,732,< 10,45.9,723.052425,45900,45810.225,820.6273211124316,829.5973211124316,779.272249636993,0.015783647100620003,-4.148780868556623,-0.12658734361867374,-4.8687439853336054e-4,2053.9178133258947
B_up,7/23/10,14:12:03,10,759,< 10,49.82,750.052425,49820,49730.225,890.8487421764131,899.8187421764131,826.415407232887,0.015082425728015507,-4.194225072043016,-0.17203154710506663,-6.616597965579486e-4,1511.3507050030044
B_up,7/23/10,14:13:00,10.6,750,< 10,49.54,741.052425,49540,49450.225,885.8329263861286,894.8029263861287,819.2082731452344,0.014985825140330504,-4.200650515309714,-0.17845699037176388,-6.863730398913995e-4,1456.933681658335
B_up,7/23/10,14:13:30,10.8,756,< 10,51.42,747.052425,51420,51330.225,919.5105466923239,928.480546692324,837.813400047646,0.014553850582186226,-4.229899675553105,-0.20770615061515496,-7.988698100582884e-4,1251.7684200971826
B_up,7/23/10,14:14:00,10.9,767,< 10,51.4,758.052425,51400,51310.225,919.152274135875,928.122274135875,843.7237606362739,0.01477390568838862,-4.21489278351661,-0.19269925857866,-7.411509945333077e-4,1349.2527263350512
B_up,7/23/10,14:15:00,10.5,692,< 10,44.7,683.052425,44700,44610.225,799.1309677254984,808.1009677254984,747.8006884632063,0.015311566462621518,-4.179146758242025,-0.1569532333040753,-6.036662819387511e-4,1656.5444019639008
B_up,7/23/10,14:16:00,9.94,725,< 10,47.92,716.052425,47920,47830.225,856.812849313769,865.782849313769,792.2705129893974,0.014970709943346493,-4.201659657269858,-0.17946613233190867,-6.902543551227257e-4,1448.7413119214616
B_up,7/23/10,14:18:00,10.5,721,< 10,45.02,712.052425,45020,44930.225,804.8633286286806,813.8333286286806,766.0116382544581,0.015847960365210724,-4.14471447052221,-0.12252094558426041,-4.7123440609330927e-4,2122.086136049221
B_up,7/23/10,14:20:00,NA,238,< 10,4.65,229.052425,4650,4560.225,81.69017343660587,90.66017343660587,146.89152895219036,NA,NA,NA,NA,NA
B_up,7/23/10,14:23:00,10,516,< 10,32.26,507.05242499999997,32259.999999999996,32170.224999999995,576.2854376142918,585.25543761429185,549.5378110821623,0.015761544254042366,-4.1501822136900985,-0.12798868875214886,-4.922641875082648e-4,2031.4295156464343
B_up,7/23/10,14:27:00,10.5,390,< 10,23.27,381.05242499999997,23270,23180.225,415.241923490518,424.211923490518,406.7464199735531,0.016438685344943804,-4.108117859404189,-0.08592433446623904,-3.3047820948553476e-4,3025.9181128968526
B_up,7/23/10,14:32:00,10.6,267,< 10,15.11,258.05242499999997,15110,15020.225,269.06672045937285,278.0367204593729,272.46248248640126,0.01718033018812967,-4.063990143278373,-0.04179661834042303,-1.6075622438624243e-4,6220.598946124417
B_up,7/23/10,14:38:30,11,167,< 10,9.01,158.052425,9010,8920.225,159.79359074246287,168.76359074246287,167.87947955003696,0.01771843479284435,-4.033149667681448,-0.010956142743498098,-4.2139010551915764e-5,NA
B_up,7/23/10,14:44:00,9.71,113,< 10,6.03,104.052425,6030,5940.225,106.41097983157896,115.38097983157895,114.18428403667656,0.017516579759184206,-4.04460743175629,-0.022413906818340656,-8.620733391669483e-5,11599.941148468124
B_up,7/23/10,14:50:00,8.99,76,< 10,3.6,67.052425,3600,3510.225,62.8808642230394,71.85086422303941,73.896317100049,NA,NA,NA,NA,NA
B_up,7/23/10,15:00:00,10.1,34,< 10,1.88,25.052425,1880,1790.225,32.06942436843527,41.03942436843527,37.35425582884498,0.013994009132930219,-4.269125960026787,-0.2469324350888371,-9.497401349570658e-4,1052.919596838146
B_up,7/23/10,15:20:00,10.1,8.97,< 10,0.61,0.02242500000000014,610,520.225,9.319117033931066,18.289117033931067,12.808332436127724,4.3106348214715055e-5,-10.051840281336114,-6.029646756398164,-0.02319094906306986,43.12027064008508
